"Voorraad woningen; gemiddeld oppervlak; woningtype, bouwjaarklasse, regio"
""
"";""
"";"Onderwerp";"Beginstand woningvoorraad";"Gemiddelde oppervlakte"
"Rheden";"2023";"21327";"120"
"Rhenen";"2023";"8368";"130"
"Ridderkerk";"2023";"21589";"104"
"Rijnwaarden";"2023";"";""
"Rijnwoude";"2023";"";""
"Rijssen-Holten";"2023";"15000";"137"
"Rijswijk (ZH.)";"2023";"28137";"102"
"Roerdalen";"2023";"9729";"159"
"Roermond";"2023";"29164";"128"
"De Ronde Venen";"2023";"18872";"134"
"Roosendaal";"2023";"35904";"122"
"Rotterdam";"2023";"321282";"90"
"Rozendaal";"2023";"706";"194"
"Rucphen";"2023";"10218";"151"
"Schagen";"2023";"21169";"142"
"Schermer";"2023";"";""
"Scherpenzeel";"2023";"4248";"96"
"Schiedam";"2023";"38089";"96"
"Schiermonnikoog";"2023";"612";"121"
"Schijndel";"2023";"";""
"Schinnen";"2023";"";""
"Schoonhoven";"2023";"";""
"Schouwen-Duiveland";"2023";"16888";"135"
"Simpelveld";"2023";"5215";"150"
"Sint Anthonis";"2023";"";""
"Sint-Michielsgestel";"2023";"12568";"160"
"Sint-Oedenrode";"2023";"";""
"Sittard-Geleen";"2023";"47011";"127"
"Skarsterlân";"2023";"";""
"Sliedrecht";"2023";"11213";"105"
"Slochteren";"2023";"";""
"Sluis";"2023";"13887";"137"
"Smallingerland";"2023";"26241";"131"
"Soest";"2023";"21202";"121"
"Someren";"2023";"8482";"164"
"Son en Breugel";"2023";"7632";"152"
"Spijkenisse";"2023";"";""
"Stadskanaal";"2023";"15177";"122"
"Staphorst";"2023";"6099";"213"
"Stede Broec";"2023";"9438";"125"
"Steenbergen";"2023";"10679";"135"
"Steenwijkerland";"2023";"20469";"151"
"Stein (L.)";"2023";"11823";"142"
"Stichtse Vecht";"2023";"28901";"121"
"Strijen";"2023";"";""
"Súdwest-Fryslân";"2023";"42865";"151"
"Terneuzen";"2023";"27414";"126"
"Terschelling";"2023";"2318";"137"
"Texel";"2023";"6975";"125"
"Teylingen";"2023";"16657";"119"
"Tholen";"2023";"11263";"135"
"Tiel";"2023";"18534";"115"
"Tilburg";"2023";"105264";"111"
"Tubbergen";"2023";"8771";"196"
"Twenterand";"2023";"14016";"148"
"Tynaarlo";"2023";"14715";"146"
"Tytsjerksteradiel";"2023";"14211";"151"
"Ubbergen";"2023";"";""
"Uden";"2023";"";""
"Uitgeest";"2023";"5692";"123"
"Uithoorn";"2023";"13572";"117"
"Urk";"2023";"6964";"128"
"Utrecht (gemeente)";"2023";"165400";"95"
"Utrechtse Heuvelrug";"2023";"22121";"132"
"Vaals";"2023";"5862";"123"
"Valkenburg aan de Geul";"2023";"8368";"144"
"Valkenswaard";"2023";"15081";"131"
"Veendam";"2023";"13013";"124"
"Veenendaal";"2023";"29268";"111"
"Veere";"2023";"11066";"140"
"Veghel";"2023";"";""
"Veldhoven";"2023";"20399";"134"
"Velsen";"2023";"31823";"103"
"Venlo";"2023";"48553";"129"
"Venray";"2023";"19757";"151"
"Vianen";"2023";"";""
"Vijfheerenlanden";"2023";"25013";"127"
"Vlaardingen";"2023";"36315";"94"
"Vlagtwedde";"2023";"";""
"Vlieland";"2023";"640";"111"
"Vlissingen";"2023";"23243";"106"
"Vlist";"2023";"";""
"Voerendaal";"2023";"5846";"160"
"Voorne aan Zee";"2023";"33488";"124"
"Voorschoten";"2023";"11572";"121"
"Voorst";"2023";"10938";"146"
"Vught";"2023";"13952";"144"
"Waadhoeke";"2023";"21476";"157"
"Waalre";"2023";"8059";"151"
"Waalwijk";"2023";"22580";"123"
"Waddinxveen";"2023";"13408";"120"
"Wageningen";"2023";"18560";"106"
"Wassenaar";"2023";"12241";"157"
"Waterland";"2023";"7495";"128"
"Weert";"2023";"23596";"136"
"Weesp";"2023";"";""
"Werkendam";"2023";"";""
"West Betuwe";"2023";"21447";"141"
"West Maas en Waal";"2023";"8507";"163"
"Westerkwartier";"2023";"27914";"165"
"Westerveld";"2023";"8757";"185"
"Westervoort";"2023";"6766";"119"
"Westerwolde";"2023";"11996";"156"
"Westland";"2023";"47043";"123"
"Weststellingwerf";"2023";"11921";"145"
"Westvoorne";"2023";"";""
"Wierden";"2023";"10034";"146"
"Wijchen";"2023";"18317";"133"
"Wijdemeren";"2023";"10851";"125"
"Wijk bij Duurstede";"2023";"10353";"128"
"Winsum";"2023";"";""
"Winterswijk";"2023";"13375";"157"
"Woensdrecht";"2023";"10020";"140"
"Woerden";"2023";"22769";"124"
"De Wolden";"2023";"10555";"169"
"Wormerland";"2023";"7145";"115"
"Woudenberg";"2023";"5601";"130"
"Woudrichem";"2023";"";""
"Zaanstad";"2023";"70210";"103"
"Zaltbommel";"2023";"12107";"145"
"Zandvoort";"2023";"9825";"106"
"Zederik";"2023";"";""
"Zeevang";"2023";"";""
"Zeewolde";"2023";"9354";"132"
"Zeist";"2023";"30111";"119"
"Zevenaar";"2023";"20679";"132"
"Zijpe";"2023";"";""
"Zoetermeer";"2023";"56991";"108"
"Zoeterwoude";"2023";"3944";"130"
"Zuidhorn";"2023";"";""
"Zuidplas";"2023";"19033";"125"
"Zundert";"2023";"9940";"157"
"Zutphen";"2023";"23381";"118"
"Zwartewaterland";"2023";"9196";"147"
"Zwijndrecht";"2023";"20828";"106"
"Zwolle";"2023";"60475";"110"
"Gemeenten; niet in te delen";"2023";"0";"."
"Bron: CBS"
