"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land"
"Dordrecht";"2023";"121434";"1566";"77,56"
"Drechterland";"2023";"20385";"346";"58,88"
"Driebergen-Rijsenburg";"2023";"";"";""
"Drimmelen";"2023";"27994";"295";"95,05"
"Dronten";"2023";"43593";"131";"333,60"
"Drunen";"2023";"";"";""
"Druten";"2023";"19505";"520";"37,52"
"Duiveland";"2023";"";"";""
"Duiven";"2023";"24937";"736";"33,88"
"Den Dungen";"2023";"";"";""
"Dussen";"2023";"";"";""
"Dwingeloo";"2023";"";"";""
"Echt";"2023";"";"";""
"Echteld";"2023";"";"";""
"Echt-Susteren";"2023";"31967";"310";"103,02"
"Edam-Volendam";"2023";"36760";"677";"54,32"
"Ede";"2023";"122012";"384";"318,15"
"Eelde";"2023";"";"";""
"Eemnes";"2023";"9598";"309";"31,04"
"Eemsdelta";"2023";"45394";"169";"268,07"
"Eemsmond";"2023";"";"";""
"Eersel";"2023";"20004";"243";"82,47"
"Egmond";"2023";"";"";""
"Eibergen";"2023";"";"";""
"Eijsden";"2023";"";"";""
"Eijsden-Margraten";"2023";"25991";"335";"77,56"
"Eindhoven";"2023";"243730";"2769";"88,02"
"Elburg";"2023";"24037";"377";"63,82"
"Elst";"2023";"";"";""
"Emmen";"2023";"108765";"324";"335,33"
"Enkhuizen";"2023";"18885";"1491";"12,66"
"Enschede";"2023";"161235";"1146";"140,73"
"Epe";"2023";"33283";"213";"156,12"
"Ermelo";"2023";"27496";"321";"85,64"
"Esch";"2023";"";"";""
"Etten-Leur";"2023";"44578";"806";"55,29"
"Ferwerderadeel";"2023";"";"";""
"Ferwerderadiel";"2023";"";"";""
"Fijnaart en Heijningen";"2023";"";"";""
"Franekeradeel";"2023";"";"";""
"De Friese Meren";"2023";"";"";""
"De Fryske Marren";"2023";"51992";"148";"351,21"
"Gaasterlân-Sleat";"2023";"";"";""
"Gasselte";"2023";"";"";""
"Geertruidenberg";"2023";"22099";"831";"26,60"
"Geldermalsen";"2023";"";"";""
"Geldrop";"2023";"";"";""
"Geldrop-Mierlo";"2023";"40441";"1304";"31,01"
"Geleen";"2023";"";"";""
"Gemert";"2023";"";"";""
"Gemert-Bakel";"2023";"31383";"257";"122,07"
"Gendringen";"2023";"";"";""
"Gendt";"2023";"";"";""
"Genemuiden";"2023";"";"";""
"Gennep";"2023";"17764";"373";"47,57"
"Giessenlanden";"2023";"";"";""
"Gieten";"2023";"";"";""
"Gilze en Rijen";"2023";"26815";"410";"65,38"
"Goedereede";"2023";"";"";""
"Goeree-Overflakkee";"2023";"51590";"197";"262,20"
"Goes";"2023";"39433";"426";"92,48"
"Goirle";"2023";"24177";"563";"42,97"
"Gooise Meren";"2023";"60341";"1456";"41,43"
"Goor";"2023";"";"";""
"Gorinchem";"2023";"38461";"2055";"18,71"
"Gorssel";"2023";"";"";""
"Gouda";"2023";"75316";"4565";"16,50"
"Graafstroom";"2023";"";"";""
"Graft-De Rijp";"2023";"";"";""
"Gramsbergen";"2023";"";"";""
"Grave";"2023";"";"";""
"'s-Graveland";"2023";"";"";""
"'s-Gravendeel";"2023";"";"";""
"'s-Gravenhage (gemeente)";"2023";"562839";"6827";"82,44"
"'s-Gravenmoer";"2023";"";"";""
"'s-Gravenzande";"2023";"";"";""
"Groenlo";"2023";"";"";""
"Groesbeek";"2023";"";"";""
"Groningen (gemeente)";"2023";"238147";"1284";"185,53"
"Grootegast";"2023";"";"";""
"Grubbenvorst";"2023";"";"";""
"Gulpen";"2023";"";"";""
"Gulpen-Wittem";"2023";"14210";"194";"73,18"
"Haaksbergen";"2023";"24502";"234";"104,78"
"Haaren";"2023";"";"";""
"Haarlem";"2023";"165396";"5662";"29,21"
"Haarlemmerliede en Spaarnwoude";"2023";"";"";""
"Haarlemmermeer";"2023";"162300";"823";"197,21"
"Haelen";"2023";"";"";""
"Halderberge";"2023";"31041";"417";"74,44"
"Halsteren";"2023";"";"";""
"Den Ham";"2023";"";"";""
"Hardenberg";"2023";"62509";"200";"312,16"
"Harderwijk";"2023";"48906";"1256";"38,92"
"Hardinxveld-Giessendam";"2023";"18681";"1108";"16,86"
"Haren";"2023";"";"";""
"Harenkarspel";"2023";"";"";""
"Harlingen";"2023";"16188";"649";"24,96"
"Harmelen";"2023";"";"";""
"Hasselt";"2023";"";"";""
"Hattem";"2023";"12563";"545";"23,07"
"Havelte";"2023";"";"";""
"Hedel";"2023";"";"";""
"Heel";"2023";"";"";""
"Heemskerk";"2023";"39431";"1446";"27,27"
"Heemstede";"2023";"27778";"3029";"9,17"
"Heerde";"2023";"19214";"245";"78,55"
"Heerenveen";"2023";"51637";"272";"189,97"
"Heerewaarden";"2023";"";"";""
"Heerhugowaard";"2023";"";"";""
"Heerjansdam";"2023";"";"";""
"Heerlen";"2023";"87122";"1940";"44,91"
"Heesch";"2023";"";"";""
"Heeze";"2023";"";"";""
"Heeze-Leende";"2023";"16627";"160";"103,92"
"Heiloo";"2023";"24319";"1300";"18,71"
"Heino";"2023";"";"";""
"Helden";"2023";"";"";""
"Den Helder";"2023";"56539";"1254";"45,10"
"Hellendoorn";"2023";"36261";"263";"137,93"
"Hellevoetsluis";"2023";"";"";""
"Helmond";"2023";"94898";"1785";"53,17"
"Helvoirt";"2023";"";"";""
"Hendrik-Ido-Ambacht";"2023";"32183";"3159";"10,19"
"Hengelo (Gld.)";"2023";"";"";""
"Hengelo (O.)";"2023";"82311";"1353";"60,84"
"'s-Hertogenbosch";"2023";"158753";"1450";"109,48"
"Heteren";"2023";"";"";""
"Heumen";"2023";"16824";"423";"39,73"
"Heusden";"2023";"45830";"581";"78,86"
"Heythuysen";"2023";"";"";""
"Hillegom";"2023";"22453";"1747";"12,86"
"Hilvarenbeek";"2023";"15949";"168";"94,87"
"Hilversum";"2023";"93345";"2047";"45,61"
"Hoeksche Waard";"2023";"89760";"334";"268,54"
"Hoevelaken";"2023";"";"";""
"Hoeven";"2023";"";"";""
"Hof van Twente";"2023";"35455";"167";"212,43"
"Het Hogeland";"2023";"48298";"101";"476,74"
"Hollands Kroon";"2023";"49431";"138";"357,63"
"Holten";"2023";"";"";""
"Hontenisse";"2023";"";"";""
"Hooge en Lage Mierde";"2023";"";"";""
"Hooge en Lage Zwaluwe";"2023";"";"";""
"Hoogeloon, Hapert en Casteren";"2023";"";"";""
"Hoogeveen";"2023";"56433";"442";"127,54"
"Hoogezand-Sappemeer";"2023";"";"";""
"Hoorn";"2023";"75216";"3692";"20,37"
"Horst";"2023";"";"";""
"Horst aan de Maas";"2023";"43641";"231";"188,67"
"Houten";"2023";"50581";"921";"54,90"
"Huijbergen";"2023";"";"";""
"Huissen";"2023";"";"";""
"Huizen";"2023";"41252";"2609";"15,81"
"Hulst";"2023";"27596";"137";"201,26"
"Hummelo en Keppel";"2023";"";"";""
"Hunsel";"2023";"";"";""
"IJsselham";"2023";"";"";""
"IJsselmuiden";"2023";"";"";""
"IJsselstein";"2023";"33492";"1594";"21,01"
"Jacobswoude";"2023";"";"";""
"Kaag en Braassem";"2023";"28573";"453";"63,13"
"Kampen";"2023";"55614";"394";"141,23"
"Kapelle";"2023";"13051";"351";"37,13"
"Katwijk";"2023";"66607";"2685";"24,81"
"Kerkrade";"2023";"45620";"2082";"21,91"
"Kerkwijk";"2023";"";"";""
"Kessel";"2023";"";"";""
"Kesteren";"2023";"";"";""
"Klundert";"2023";"";"";""
"Koggenland";"2023";"23509";"293";"80,26"
"Kollumerland en Nieuwkruisland";"2023";"";"";""
"Korendijk";"2023";"";"";""
"Krimpen aan den IJssel";"2023";"29504";"3845";"7,67"
"Krimpenerwaard";"2023";"57700";"389";"148,32"
"Laarbeek";"2023";"23260";"420";"55,35"
"Land van Cuijk";"2023";"91423";"268";"341,26"
"Landerd";"2023";"";"";""
"Landgraaf";"2023";"37175";"1512";"24,58"
"Landsmeer";"2023";"11705";"522";"22,44"
"Langbroek";"2023";"";"";""
"Langedijk";"2023";"";"";""
"Lansingerland";"2023";"64754";"1216";"53,27"
"Laren (NH.)";"2023";"11712";"944";"12,41"
"Leek";"2023";"";"";""
"Leende";"2023";"";"";""
"Leerdam";"2023";"";"";""
"Leersum";"2023";"";"";""
"Leeuwarden";"2023";"127073";"535";"237,55"
"Leeuwarderadeel";"2023";"";"";""
"Leiden";"2023";"127089";"5816";"21,85"
"Leiderdorp";"2023";"27657";"2406";"11,50"
"Leidschendam";"2023";"";"";""
"Leidschendam-Voorburg";"2023";"77753";"2384";"32,61"
"Lelystad";"2023";"83033";"363";"229,00"
"Lemsterland";"2023";"";"";""
"Leudal";"2023";"36141";"222";"162,51"
"Leusden";"2023";"31467";"538";"58,51"
"Lichtenvoorde";"2023";"";"";""
"Liemeer";"2023";"";"";""
"Liempde";"2023";"";"";""
"Lienden";"2023";"";"";""
"De Lier";"2023";"";"";""
"Lieshout";"2023";"";"";""
"Liesveld";"2023";"";"";""
"Limmen";"2023";"";"";""
"Lingewaal";"2023";"";"";""
"Lingewaard";"2023";"47220";"762";"61,96"
"Lisse";"2023";"23390";"1490";"15,70"
"Lith";"2023";"";"";""
"Littenseradiel";"2023";"";"";""
"Lochem";"2023";"34314";"161";"213,05"
"Loenen";"2023";"";"";""
"Loon op Zand";"2023";"23797";"477";"49,92"
"Loosdrecht";"2023";"";"";""
"Lopik";"2023";"14704";"195";"75,56"
"Loppersum";"2023";"";"";""
"Losser";"2023";"23362";"237";"98,74"
"Luyksgestel";"2023";"";"";""
"Maarheeze";"2023";"";"";""
"Maarn";"2023";"";"";""
"Maarssen";"2023";"";"";""
"Maartensdijk";"2023";"";"";""
"Maasbracht";"2023";"";"";""
"Maasbree";"2023";"";"";""
"Maasdonk";"2023";"";"";""
"Maasdriel";"2023";"26020";"395";"65,88"
"Maasgouw";"2023";"24305";"532";"45,70"
"Maashorst";"2023";"58934";"429";"137,33"
"Maasland";"2023";"";"";""
"Maassluis";"2023";"35303";"4180";"8,44"
"Maastricht";"2023";"122734";"2200";"55,79"
"Made";"2023";"";"";""
"Made en Drimmelen";"2023";"";"";""
"Margraten";"2023";"";"";""
"Mariekerke";"2023";"";"";""
"Markelo";"2023";"";"";""
"De Marne";"2023";"";"";""
"Marum";"2023";"";"";""
"Maurik";"2023";"";"";""
"Medemblik";"2023";"46031";"380";"121,23"
"Meerlo-Wanssum";"2023";"";"";""
"Meerssen";"2023";"18600";"696";"26,73"
"Meierijstad";"2023";"83715";"455";"184,00"
"Meijel";"2023";"";"";""
"Menaldumadeel";"2023";"";"";""
"Menameradiel";"2023";"";"";""
"Menterwolde";"2023";"";"";""
"Meppel";"2023";"35464";"639";"55,50"
"Middelburg (Z.)";"2023";"49956";"1033";"48,38"
"Middelharnis";"2023";"";"";""
"Midden-Delfland";"2023";"19472";"413";"47,19"
"Midden-Drenthe";"2023";"33987";"100";"340,62"
"Midden-Groningen";"2023";"61554";"221";"277,95"
"Middenschouwen";"2023";"";"";""
"Middenveld";"2023";"";"";""
"Mierlo";"2023";"";"";""
"Mill en Sint Hubert";"2023";"";"";""
"Millingen aan de Rijn";"2023";"";"";""
"Moerdijk";"2023";"37711";"237";"159,17"
"Moergestel";"2023";"";"";""
"Molenlanden";"2023";"45158";"249";"181,57"
"Molenwaard";"2023";"";"";""
"Monster";"2023";"";"";""
"Montferland";"2023";"36882";"349";"105,70"
"Montfoort";"2023";"13929";"371";"37,58"
"Mook en Middelaar";"2023";"8043";"463";"17,39"
"Moordrecht";"2023";"";"";""
"Muiden";"2023";"";"";""
"Naaldwijk";"2023";"";"";""
"Naarden";"2023";"";"";""
"Neder-Betuwe";"2023";"25448";"424";"59,99"
"Nederhorst den Berg";"2023";"";"";""
"Nederlek";"2023";"";"";""
"Nederweert";"2023";"17499";"175";"99,90"
"Neede";"2023";"";"";""
"Neerijnen";"2023";"";"";""
"Niedorp";"2023";"";"";""
"Nieuwegein";"2023";"65426";"2794";"23,42"
"Nieuwerkerk aan den IJssel";"2023";"";"";""
"Nieuw-Ginneken";"2023";"";"";""
"Nieuwkoop";"2023";"29463";"375";"78,46"
"Nieuw-Lekkerland";"2023";"";"";""
"Nieuwleusen";"2023";"";"";""
"Nieuw-Vossemeer";"2023";"";"";""
"Nijefurd";"2023";"";"";""
"Nijeveen";"2023";"";"";""
"Nijkerk";"2023";"44975";"649";"69,32"
"Nijmegen";"2023";"182480";"3456";"52,81"
"Nissewaard";"2023";"86833";"1184";"73,31"
"Noardeast-Fryslân";"2023";"45812";"121";"379,22"
"Noord-Beveland";"2023";"7857";"91";"86,00"
"Noordenveld";"2023";"31591";"159";"199,01"
"Noorder-Koggenland";"2023";"";"";""
"Noordoostpolder";"2023";"49729";"109";"458,09"
"Noordwijk";"2023";"45179";"774";"58,34"
"Noordwijkerhout";"2023";"";"";""
"Nootdorp";"2023";"";"";""
"Norg";"2023";"";"";""
"Nuenen, Gerwen en Nederwetten";"2023";"24015";"714";"33,65"
"Nunspeet";"2023";"28731";"223";"128,73"
"Nuth";"2023";"";"";""
"Obdam";"2023";"";"";""
"Odoorn";"2023";"";"";""
"Oegstgeest";"2023";"25746";"3530";"7,29"
"Oirschot";"2023";"19217";"189";"101,79"
"Oisterwijk";"2023";"32941";"411";"80,11"
"Oldambt";"2023";"39044";"172";"226,57"
"Oldebroek";"2023";"24264";"248";"97,66"
"Oldenzaal";"2023";"31925";"1481";"21,55"
"Olst";"2023";"";"";""
"Olst-Wijhe";"2023";"18682";"164";"113,66"
"Ommen";"2023";"18955";"105";"179,85"
"Onderbanken";"2023";"";"";""
"Oost Gelre";"2023";"29846";"271";"109,93"
"Oost-, West- en Middelbeers";"2023";"";"";""
"Oostburg";"2023";"";"";""
"Oosterhesselen";"2023";"";"";""
"Oosterhout";"2023";"57425";"804";"71,43"
"Oostflakkee";"2023";"";"";""
"Ooststellingwerf";"2023";"25837";"116";"223,30"
"Oostzaan";"2023";"9720";"841";"11,56"
"Ootmarsum";"2023";"";"";""
"Opmeer";"2023";"12180";"294";"41,48"
"Opsterland";"2023";"30054";"134";"224,40"
"Oss";"2023";"94437";"583";"162,01"
"Ossendrecht";"2023";"";"";""
"Oud en Nieuw Gastel";"2023";"";"";""
"Oud-Beijerland";"2023";"";"";""
"Oude IJsselstreek";"2023";"39613";"291";"136,07"
"Oudenbosch";"2023";"";"";""
"Ouder-Amstel";"2023";"14276";"596";"23,95"
"Ouderkerk";"2023";"";"";""
"Oudewater";"2023";"10232";"263";"38,90"
"Overbetuwe";"2023";"48707";"447";"109,03"
"Papendrecht";"2023";"32277";"3428";"9,41"
"Peel en Maas";"2023";"45276";"284";"159,35"
"Peize";"2023";"";"";""
"Pekela";"2023";"12404";"253";"49,04"
"Pijnacker";"2023";"";"";""
"Pijnacker-Nootdorp";"2023";"57672";"1564";"36,87"
"Prinsenbeek";"2023";"";"";""
"Purmerend";"2023";"93992";"1004";"93,61"
"Putte";"2023";"";"";""
"Putten";"2023";"24904";"292";"85,21"
"Raalte";"2023";"38500";"225";"170,97"
"Raamsdonk";"2023";"";"";""
"Ravenstein";"2023";"";"";""
"Reeuwijk";"2023";"";"";""
"Reiderland";"2023";"";"";""
"Reimerswaal";"2023";"23255";"229";"101,76"
"Renkum";"2023";"31461";"685";"45,96"
"Renswoude";"2023";"5747";"313";"18,39"
"Reusel";"2023";"";"";""
"Reusel-De Mierden";"2023";"13542";"174";"77,81"
"Rheden";"2023";"43570";"533";"81,77"
"Rhenen";"2023";"20329";"484";"42,02"
"Ridderkerk";"2023";"47477";"2022";"23,48"
"Riethoven";"2023";"";"";""
"Rijnsburg";"2023";"";"";""
"Rijnwaarden";"2023";"";"";""
"Rijnwoude";"2023";"";"";""
"Rijsbergen";"2023";"";"";""
"Rijssen";"2023";"";"";""
"Rijssen-Holten";"2023";"38493";"409";"94,12"
"Rijswijk (ZH.)";"2023";"57997";"4150";"13,98"
"Roden";"2023";"";"";""
"Roerdalen";"2023";"20702";"235";"88,21"
"Roermond";"2023";"59981";"989";"60,64"
"Roggel en Neer";"2023";"";"";""
"Rolde";"2023";"";"";""
"De Ronde Venen";"2023";"45572";"457";"99,68"
"Roosendaal";"2023";"77613";"729";"106,50"
"Roosendaal en Nispen";"2023";"";"";""
"Rosmalen";"2023";"";"";""
"Rossum";"2023";"";"";""
"Rotterdam";"2023";"663900";"3040";"218,42"
"Rozenburg";"2023";"";"";""
"Rozendaal";"2023";"1754";"63";"27,90"
"Rucphen";"2023";"23636";"367";"64,38"
"Ruinen";"2023";"";"";""
"Ruinerwold";"2023";"";"";""
"Ruurlo";"2023";"";"";""
"Sas van Gent";"2023";"";"";""
"Sassenheim";"2023";"";"";""
"Schagen";"2023";"47450";"282";"167,99"
"Scheemda";"2023";"";"";""
"Schermer";"2023";"";"";""
"Scherpenzeel";"2023";"10386";"753";"13,79"
"Schiedam";"2023";"80628";"4528";"17,81"
"Schiermonnikoog";"2023";"982";"23";"42,93"
"Schijndel";"2023";"";"";""
"Schinnen";"2023";"";"";""
"Schipluiden";"2023";"";"";""
"Schoonebeek";"2023";"";"";""
"Schoonhoven";"2023";"";"";""
"Schoorl";"2023";"";"";""
"Schouwen-Duiveland";"2023";"34561";"151";"228,60"
"Sevenum";"2023";"";"";""
"Simpelveld";"2023";"10396";"649";"16,03"
"Sint Anthonis";"2023";"";"";""
"Sint-Michielsgestel";"2023";"30135";"516";"58,35"
"Sint-Oedenrode";"2023";"";"";""
"Sittard";"2023";"";"";""
"Sittard-Geleen";"2023";"92234";"1173";"78,61"
"Skarsterlân";"2023";"";"";""
"Sleen";"2023";"";"";""
"Sliedrecht";"2023";"26184";"2038";"12,85"
"Slochteren";"2023";"";"";""
"Sluis";"2023";"23243";"83";"278,60"
"Sluis-Aardenburg";"2023";"";"";""
"Smallingerland";"2023";"56098";"479";"117,17"
"Smilde";"2023";"";"";""
"Sneek";"2023";"";"";""
"Soest";"2023";"47439";"1026";"46,25"
"Someren";"2023";"20061";"250";"80,10"
"Son en Breugel";"2023";"18010";"694";"25,95"
"Spijkenisse";"2023";"";"";""
"Sprang-Capelle";"2023";"";"";""
"St. Anthonis";"2023";"";"";""
"Stad Delden";"2023";"";"";""
"Stadskanaal";"2023";"32135";"273";"117,63"
"Standdaarbuiten";"2023";"";"";""
"Staphorst";"2023";"17628";"132";"133,94"
"Stede Broec";"2023";"22138";"1529";"14,48"
"Steenbergen";"2023";"24610";"168";"146,50"
"Steenderen";"2023";"";"";""
"Steenwijk";"2023";"";"";""
"Steenwijkerland";"2023";"45376";"157";"288,31"
"Stein (L.)";"2023";"24772";"1184";"20,92"
"Stichtse Vecht";"2023";"65771";"685";"96,04"
"Stramproy";"2023";"";"";""
"Strijen";"2023";"";"";""
"Súdwest-Fryslân";"2023";"90883";"174";"522,70"
"Susteren";"2023";"";"";""
"Swalmen";"2023";"";"";""
"Tegelen";"2023";"";"";""
"Terheijden";"2023";"";"";""
"Terneuzen";"2023";"54993";"220";"250,13"
"Terschelling";"2023";"4928";"57";"87,21"
"Teteringen";"2023";"";"";""
"Texel";"2023";"13979";"86";"162,26"
"Teylingen";"2023";"38510";"1360";"28,32"
"Tholen";"2023";"26825";"183";"146,72"
"Thorn";"2023";"";"";""
"Tiel";"2023";"42604";"1299";"32,80"
"Tilburg";"2023";"227707";"1809";"125,89"
"Tubbergen";"2023";"21408";"146";"147,00"
"Twenterand";"2023";"33867";"319";"106,14"
"Tynaarlo";"2023";"34592";"242";"142,88"
"Tytsjerksteradiel";"2023";"32408";"218";"148,63"
"Ubbergen";"2023";"";"";""
"Uden";"2023";"";"";""
"Udenhout";"2023";"";"";""
"Uitgeest";"2023";"13472";"703";"19,16"
"Uithoorn";"2023";"31442";"1735";"18,12"
"Urk";"2023";"21829";"1661";"13,14"
"Utrecht (gemeente)";"2023";"367947";"3924";"93,77"
"Utrechtse Heuvelrug";"2023";"50429";"382";"132,02"
"Vaals";"2023";"10190";"427";"23,89"
"Valburg";"2023";"";"";""
"Valkenburg (ZH.)";"2023";"";"";""
"Valkenburg aan de Geul";"2023";"16423";"447";"36,73"
"Valkenisse";"2023";"";"";""
"Valkenswaard";"2023";"31527";"574";"54,91"
"Veendam";"2023";"27616";"364";"75,93"
"Veenendaal";"2023";"68525";"3528";"19,42"
"Veere";"2023";"22045";"166";"132,99"
"Veghel";"2023";"";"";""
"Veldhoven";"2023";"46417";"1465";"31,68"
"Velsen";"2023";"68790";"1528";"45,03"
"Venhuizen";"2023";"";"";""
"Venlo";"2023";"103328";"832";"124,16"
"Venray";"2023";"44628";"273";"163,18"
"Vessem, Wintelre en Knegsel";"2023";"";"";""
"Vianen";"2023";"";"";""
"Vierlingsbeek";"2023";"";"";""
"Vijfheerenlanden";"2023";"60052";"411";"146,28"
"Vlaardingen";"2023";"75079";"3214";"23,36"
"Vlagtwedde";"2023";"";"";""
"Vledder";"2023";"";"";""
"Vleuten-De Meern";"2023";"";"";""
"Vlieland";"2023";"1291";"31";"41,84"
